Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, ActivoHombres_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,73482798078412;0,283944464817463;0,268429094281227
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998470403645302;8,71291584419666;0,200093673550510;0,268432942482266
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima, Capital_arima;3;-0,996487597109221;0,998599235957388;9,34193147265151;0,327756304575097;0,269034242674710
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998517404659469;8,56037545634935;0,221175236942865;0,269087934483759
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,999000000000000;6,78968709379852;0,306329180388512;0,269114778451342
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998477225215911;8,64510683044474;0,213462699705056;0,269138762882830
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,58978423944161;0,199827819020647;0,269835184879081
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998471495836953;8,52228563034456;0,225190895823995;0,271084307010469
Total_arima, ConsumoEuros_arima, Gas_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998454152450800;9,85892673980335;0,272435005000462;0,271726074656193
Total_arima, ConsumoEuros_arima, PobTotal_arima, Gas_arima;3;-0,333167368295875;0,998626129002070;3,83700348244910;0,294700921769850;0,271806250084372
Total_arima, ConsumoEuros_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998403339622071;9,94687758594682;0,263538537327430;0,272115368558908
Total_arima, ConsumoEuros_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998387289290268;10,00607991788736;0,266937152074956;0,272239986658715
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998451203232198;8,69914097636446;0,226941519599140;0,272264027700342
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, NumeroSociedades_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,58721004729733;0,216000903583643;0,272844801826822
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998699795314316;6,68607160073488;0,206778575063229;0,273755577010352
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, EurosDesembolsado_arima;3;-0,998871035400866;0,998446056970423;8,72167157773535;0,198945881852657;0,273814592242797
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998416704393876;8,77900885005992;0,200075286632788;0,274027456333777
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, NumeroSociedades_arima, Electricidad_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,61015891104494;0,218553718938134;0,274856351083144
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, NumeroSociedades_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;6,57391912283045;0,223643799603513;0,275674513545939
Total_arima, ConsumoEuros_arima, Electricidad_arima, Gas_arima, Capital_arima;3;-0,999000000000000;0,998379178766492;9,99095200988415;0,298273700546307;0,275741529498015
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, ActivosMujeres_arima, Electricidad_arima, Carbón y derivados_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;6,60215651983753;0,216622800069220;0,276602927909079
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Electricidad_arima, Carbón y derivados_arima, Gas_arima;3;-0,999000000000000;0,998412596038304;8,46759302047220;0,232233890122059;0,277546410700927
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, ActivoHombres_arima, NumeroSociedades_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,999000000000000;6,58600171109151;0,203569011417244;0,277986572945999
